date,mass,count,flag_location,elevation,depth,n_m2,mass_m2,mass_n,watershed,date_fct
2022-10-21,0.0512,44,EL1,Lower,0-5 cm,704,0.8192,0.0011636363636363637,E,2022-10-21
2022-10-21,0.0254,32,EL2,Lower,0-5 cm,512,0.4064,7.9375e-4,E,2022-10-21
2022-10-21,0.0352,33,EL3,Lower,0-5 cm,528,0.5632,0.0010666666666666667,E,2022-10-21
2022-10-21,0.0206933333333333,16,EL4,Lower,0-5 cm,256,0.3310933333333328,0.0012933333333333312,E,2022-10-21
2022-10-21,0.041,46,EM1,Middle,0-5 cm,736,0.656,8.91304347826087e-4,E,2022-10-21
2022-10-21,0.0313,33,EM2,Middle,0-5 cm,528,0.5008,9.484848484848486e-4,E,2022-10-21
2022-10-21,0.0159,14,EM3,Middle,0-5 cm,224,0.2544,0.0011357142857142857,E,2022-10-21
2022-10-21,0.0258,20,EM4,Middle,0-5 cm,320,0.4128,0.00129,E,2022-10-21
2022-10-21,0.0106,13,EU1,Upper,0-5 cm,208,0.1696,8.153846153846154e-4,E,2022-10-21
2022-10-21,0.0419,37,EU2,Upper,0-5 cm,592,0.6704,0.0011324324324324324,E,2022-10-21
2022-10-21,0.0126,13,EU3,Upper,0-5 cm,208,0.2016,9.692307692307692e-4,E,2022-10-21
2022-10-21,0.0194,15,EU4,Upper,0-5 cm,240,0.3104,0.0012933333333333334,E,2022-10-21
2022-10-21,0.0425,44,WL1,Lower,0-5 cm,704,0.68,9.65909090909091e-4,W,2022-10-21
2022-10-21,0.0253,25,WL2,Lower,0-5 cm,400,0.4048,0.0010119999999999999,W,2022-10-21
2022-10-21,0.0178,18,WL3,Lower,0-5 cm,288,0.2848,9.88888888888889e-4,W,2022-10-21
2022-10-21,0.0415,36,WL4,Lower,0-5 cm,576,0.664,0.0011527777777777777,W,2022-10-21
2022-10-21,0.0105,9,WM1,Middle,0-5 cm,144,0.168,0.0011666666666666668,W,2022-10-21
2022-10-21,0.021,16,WM2,Middle,0-5 cm,256,0.336,0.0013125,W,2022-10-21
2022-10-21,0.0136,11,WM3,Middle,0-5 cm,176,0.2176,0.0012363636363636364,W,2022-10-21
2022-10-21,0.0368,45,WM4,Middle,0-5 cm,720,0.5888,8.177777777777777e-4,W,2022-10-21
2022-10-21,0.0139,10,WU1,Upper,0-5 cm,160,0.2224,0.00139,W,2022-10-21
2022-10-21,0.0191,20,WU2,Upper,0-5 cm,320,0.3056,9.549999999999999e-4,W,2022-10-21
2022-10-21,0.0219,24,WU3,Upper,0-5 cm,384,0.3504,9.125e-4,W,2022-10-21
2022-10-21,0.0288,31,WU4,Upper,0-5 cm,496,0.4608,9.290322580645161e-4,W,2022-10-21
2023-05-11,0.0252133333333333,31,EL1,Lower,0-5 cm,496,0.4034133333333328,8.133333333333323e-4,E,2023-05-11
2023-05-11,0.0126857142857143,16,EL2,Lower,0-5 cm,256,0.2029714285714288,7.928571428571438e-4,E,2023-05-11
2023-05-11,0.0447608695652174,29,EL3,Lower,0-5 cm,464,0.7161739130434784,0.0015434782608695656,E,2023-05-11
2023-05-11,0.0274,32,EL4,Lower,0-5 cm,512,0.4384,8.5625e-4,E,2023-05-11
2023-05-11,0.0177066666666667,16,EM1,Middle,0-5 cm,256,0.2833066666666672,0.0011066666666666688,E,2023-05-11
2023-05-11,0.0137,17,EM2,Middle,0-5 cm,272,0.2192,8.058823529411765e-4,E,2023-05-11
2023-05-11,0.0111,12,EM3,Middle,0-5 cm,192,0.1776,9.25e-4,E,2023-05-11
2023-05-11,0.0236,24,EM4,Middle,0-5 cm,384,0.3776,9.833333333333332e-4,E,2023-05-11
2023-05-11,0.0213,28,EU1,Upper,0-5 cm,448,0.3408,7.607142857142857e-4,E,2023-05-11
2023-05-11,0.0115384615384615,15,EU2,Upper,0-5 cm,240,0.184615384615384,7.692307692307666e-4,E,2023-05-11
2023-05-11,0.01122,11,EU3,Upper,0-5 cm,176,0.17952,0.00102,E,2023-05-11
2023-05-11,0.0153,19,EU4,Upper,0-5 cm,304,0.2448,8.052631578947369e-4,E,2023-05-11
2023-05-11,0.0415,42,WL1,Lower,0-5 cm,672,0.664,9.880952380952382e-4,W,2023-05-11
2023-05-11,0.0292433333333333,31,WL2,Lower,0-5 cm,496,0.4678933333333328,9.433333333333322e-4,W,2023-05-11
2023-05-11,0.0201,19,WL3,Lower,0-5 cm,304,0.3216,0.0010578947368421053,W,2023-05-11
2023-05-11,0.031,26,WL4,Lower,0-5 cm,416,0.496,0.0011923076923076924,W,2023-05-11
2023-05-11,0.0058,7,WM1,Middle,0-5 cm,112,0.0928,8.285714285714285e-4,W,2023-05-11
2023-05-11,0.0041,5,WM2,Middle,0-5 cm,80,0.0656,8.200000000000001e-4,W,2023-05-11
2023-05-11,0.0139,17,WM3,Middle,0-5 cm,272,0.2224,8.176470588235294e-4,W,2023-05-11
2023-05-11,0.0548375,41,WM4,Middle,0-5 cm,656,0.8774,0.0013375,W,2023-05-11
2023-05-11,0.028675,37,WU1,Upper,0-5 cm,592,0.4588,7.75e-4,W,2023-05-11
2023-05-11,0.0193,17,WU2,Upper,0-5 cm,272,0.3088,0.001135294117647059,W,2023-05-11
2023-05-11,0.0179444444444444,19,WU3,Upper,0-5 cm,304,0.2871111111111104,9.44444444444442e-4,W,2023-05-11
